Timestamp_Epoch_ms,ECG_mV,HR_BPM
1780607947689,-0.16,78
1780607947696,-0.169,78
1780607947704,-0.164,78
1780607947712,-0.155,78
1780607947719,-0.153,78
1780607947727,-0.146,78
1780607947735,-0.141,78
1780607947742,-0.15,78
1780607947750,-0.15,78
1780607947758,-0.141,78
1780607947766,-0.136,78
1780607947773,-0.139,78
1780607947781,-0.136,78
1780607947789,-0.141,78
1780607947796,-0.155,78
1780607947804,-0.162,78
1780607947812,-0.153,78
1780607947819,-0.148,78
1780607947827,-0.155,78
1780607947835,-0.162,78
1780607947842,-0.157,78
1780607947850,-0.153,78
1780607947858,-0.15,78
1780607947866,-0.141,78
1780607947873,-0.136,78
1780607947881,-0.141,78
1780607947889,-0.15,78
1780607947896,-0.153,78
1780607947904,-0.146,78
1780607947912,-0.136,78
1780607947919,-0.136,78
1780607947927,-0.136,78
1780607947935,-0.143,78
1780607947942,-0.153,78
1780607947950,-0.146,78
1780607947958,-0.132,78
1780607947966,-0.127,78
1780607947973,-0.132,78
1780607947981,-0.122,78
1780607947989,-0.111,78
1780607947996,-0.113,78
1780607948004,-0.12,78
1780607948012,-0.115,78
1780607948019,-0.113,78
1780607948027,-0.134,78
1780607948035,-0.162,78
1780607948042,-0.162,78
1780607948050,-0.15,78
1780607948058,-0.146,78
1780607948066,-0.146,78
1780607948073,-0.146,78
1780607948081,-0.155,78
1780607948089,-0.153,78
1780607948096,-0.111,78
1780607948104,0.013,78
1780607948112,0.273,78
1780607948119,0.517,78
1780607948127,0.385,78
1780607948353,-0.122,79
1780607948361,-0.429,79
1780607948368,-0.296,79
1780607948376,-0.162,79
1780607948384,-0.187,79
1780607948392,-0.183,79
1780607948399,-0.169,79
1780607948407,-0.18,79
1780607948415,-0.166,79
1780607948422,-0.143,79
1780607948430,-0.139,79
1780607948438,-0.141,79
1780607948445,-0.141,79
1780607948453,-0.139,79
1780607948461,-0.125,79
1780607948468,-0.111,79
1780607948476,-0.104,79
1780607948484,-0.097,79
1780607948492,-0.092,79
1780607948499,-0.099,79
1780607948507,-0.092,79
1780607948515,-0.078,79
1780607948522,-0.069,79
1780607948530,-0.06,79
1780607948538,-0.06,79
1780607948545,-0.071,79
1780607948553,-0.083,79
1780607948561,-0.088,79
1780607948568,-0.092,79
1780607948576,-0.099,79
1780607948584,-0.113,79
1780607948592,-0.134,79
1780607948599,-0.157,79
1780607948607,-0.164,79
1780607948615,-0.166,79
1780607948622,-0.176,79
1780607948630,-0.18,79
1780607948638,-0.185,79
1780607948645,-0.192,79
1780607948653,-0.185,79
1780607948661,-0.173,79
1780607948668,-0.169,79
1780607948676,-0.162,79
1780607948684,-0.157,79
1780607948692,-0.162,79
1780607948699,-0.162,79
1780607948707,-0.15,79
1780607948715,-0.143,79
1780607948722,-0.141,79
1780607948730,-0.139,79
1780607948738,-0.143,79
1780607948745,-0.146,79
1780607948753,-0.141,79
1780607948761,-0.143,79
1780607948768,-0.141,79
1780607948776,-0.132,79
1780607948784,-0.134,79
1780607948792,-0.136,79
1780607948799,-0.132,79
1780607948807,-0.129,79
1780607948815,-0.125,79
1780607948822,-0.115,79
1780607948830,-0.12,79
1780607948838,-0.134,79
1780607948845,-0.134,79
1780607948853,-0.122,79
1780607948861,-0.12,79
1780607948868,-0.118,79
1780607948876,-0.118,79
1780607948884,-0.125,79
1780607948892,-0.132,79
1780607948899,-0.127,79
1780607948907,-0.122,79
1780607948888,-0.118,79
1780607948895,-0.115,79
1780607948903,-0.127,79
1780607948911,-0.139,79
1780607948919,-0.134,79
1780607948926,-0.118,79
1780607948934,-0.097,79
1780607948942,-0.076,79
1780607948949,-0.083,79
1780607948957,-0.106,79
1780607948965,-0.109,79
1780607948972,-0.106,79
1780607948980,-0.122,79
1780607948988,-0.134,79
1780607948995,-0.125,79
1780607949003,-0.122,79
1780607949011,-0.122,79
1780607949019,-0.12,79
1780607949026,-0.122,79
1780607949034,-0.129,79
1780607949042,-0.115,79
1780607949049,-0.074,79
1780607949057,0.06,79
1780607949065,0.336,79
1780607949072,0.524,79
1780607949080,0.306,79
1780607949088,-0.18,79
1780607949095,-0.387,79
1780607949103,-0.238,79
1780607949111,-0.141,79
1780607949119,-0.16,79
1780607949126,-0.146,79
1780607949134,-0.127,79
1780607949142,-0.136,79
1780607949149,-0.141,79
1780607949157,-0.134,79
1780607949165,-0.125,79
1780607949172,-0.113,79
1780607949180,-0.104,79
1780607949188,-0.097,79
1780607949195,-0.099,79
1780607949203,-0.104,79
1780607949211,-0.097,79
1780607949219,-0.085,79
1780607949226,-0.081,79
1780607949234,-0.076,79
1780607949242,-0.062,79
1780607949249,-0.051,79
1780607949257,-0.041,79
1780607949265,-0.034,79
1780607949272,-0.027,79
1780607949280,-0.025,79
1780607949288,-0.032,79
1780607949295,-0.046,79
1780607949303,-0.06,79
1780607949311,-0.062,79
1780607949319,-0.067,79
1780607949326,-0.083,79
1780607949334,-0.099,79
1780607949342,-0.111,79
1780607949349,-0.122,79
1780607949357,-0.125,79
1780607949365,-0.125,79
1780607949372,-0.127,79
1780607949380,-0.129,79
1780607949388,-0.132,79
1780607949395,-0.141,79
1780607949403,-0.141,79
1780607949411,-0.129,79
1780607949419,-0.12,79
1780607949426,-0.12,79
1780607949434,-0.118,79
1780607949442,-0.122,79
1780607949472,-0.127,79
1780607949480,-0.12,79
1780607949488,-0.118,79
1780607949495,-0.12,79
1780607949503,-0.113,79
1780607949511,-0.113,79
1780607949518,-0.122,79
1780607949526,-0.118,79
1780607949534,-0.104,79
1780607949541,-0.102,79
1780607949549,-0.102,79
1780607949557,-0.106,79
1780607949565,-0.115,79
1780607949572,-0.111,79
1780607949580,-0.097,79
1780607949588,-0.095,79
1780607949595,-0.095,79
1780607949603,-0.088,79
1780607949611,-0.083,79
1780607949618,-0.081,79
1780607949626,-0.076,79
1780607949634,-0.074,79
1780607949641,-0.071,79
1780607949649,-0.06,79
1780607949657,-0.055,79
1780607949665,-0.062,79
1780607949672,-0.062,79
1780607949680,-0.06,79
1780607949688,-0.064,79
1780607949695,-0.06,79
1780607949703,-0.055,79
1780607949711,-0.067,79
1780607949718,-0.069,79
1780607949726,-0.055,79
1780607949734,-0.048,79
1780607949741,-0.039,79
1780607949749,-0.018,79
1780607949757,-0.009,79
1780607949765,-0.02,79
1780607949772,-0.006,79
1780607949780,0.018,79
1780607949788,0.016,79
1780607949795,-0.009,79
1780607949803,-0.025,79
1780607949811,-0.027,79
1780607949818,-0.025,79
1780607949826,-0.016,79
1780607949834,-0.006,79
1780607949841,-0.006,79
1780607949849,-0.013,79
1780607949857,-0.002,79
1780607949865,0.069,79
1780607949872,0.25,79
1780607949880,0.507,79
1780607949888,0.589,79
1780607949895,0.273,79
1780607949903,-0.143,79
1780607949911,-0.204,79
1780607949918,-0.046,79
1780607949926,-0.006,79
1780607949934,-0.02,79
1780607949941,-0.004,79
1780607949949,-0.011,79
1780607949957,-0.025,79
1780607949965,-0.013,79
1780607949972,0.004,79
1780607949980,0.002,79
1780607949988,-0.004,79
1780607949995,-0.002,79
1780607950003,-0.002,79
1780607950011,-0.004,79
1780607950018,0.009,79
1780607950026,0.023,79
1780607950009,0.03,79
1780607950017,0.034,79
1780607950024,0.032,79
1780607950032,0.023,79
1780607950040,0.025,79
1780607950047,0.034,79
1780607950055,0.034,79
1780607950063,0.027,79
1780607950071,0.013,79
1780607950078,-0.011,79
1780607950086,-0.032,79
1780607950094,-0.046,79
1780607950101,-0.067,79
1780607950109,-0.095,79
1780607950117,-0.122,79
1780607950124,-0.157,79
1780607950132,-0.176,79
1780607950140,-0.18,79
1780607950147,-0.19,79
1780607950155,-0.199,79
1780607950163,-0.201,79
1780607950171,-0.211,79
1780607950178,-0.218,79
1780607950186,-0.211,79
1780607950194,-0.204,79
1780607950201,-0.206,79
1780607950209,-0.206,79
1780607950217,-0.204,79
1780607950224,-0.197,79
1780607950232,-0.187,79
1780607950240,-0.185,79
1780607950247,-0.185,79
1780607950255,-0.183,79
1780607950263,-0.185,79
1780607950271,-0.197,79
1780607950278,-0.201,79
1780607950286,-0.187,79
1780607950294,-0.183,79
1780607950301,-0.183,79
1780607950309,-0.178,79
1780607950317,-0.178,79
1780607950324,-0.18,79
1780607950332,-0.173,79
1780607950340,-0.166,79
1780607950347,-0.166,79
1780607950355,-0.166,79
1780607950363,-0.171,79
1780607950371,-0.178,79
1780607950378,-0.171,79
1780607950386,-0.164,79
1780607950394,-0.169,79
1780607950401,-0.166,79
1780607950409,-0.164,79
1780607950417,-0.176,79
1780607950424,-0.176,79
1780607950432,-0.164,79
1780607950440,-0.162,79
1780607950447,-0.166,79
1780607950455,-0.169,79
1780607950463,-0.173,79
1780607950471,-0.176,79
1780607950478,-0.171,79
1780607950486,-0.164,79
1780607950494,-0.157,79
1780607950501,-0.153,79
1780607950509,-0.157,79
1780607950517,-0.166,79
1780607950524,-0.164,79
1780607950532,-0.16,79
1780607950540,-0.166,79
1780607950547,-0.15,79
1780607950555,-0.115,79
1780607950563,-0.118,79
1780607950789,-0.143,79
1780607950797,-0.143,79
1780607950804,-0.132,79
1780607950812,-0.139,79
1780607950820,-0.157,79
1780607950827,-0.173,79
1780607950835,-0.178,79
1780607950843,-0.171,79
1780607950851,-0.164,79
1780607950858,-0.162,79
1780607950866,-0.162,79
1780607950874,-0.166,79
1780607950881,-0.16,79
1780607950889,-0.095,79
1780607950897,0.081,79
1780607950904,0.329,79
1780607950912,0.398,79
1780607950920,0.074,79
1780607950927,-0.338,79
1780607950935,-0.38,79
1780607950943,-0.213,79
1780607950951,-0.176,79
1780607950958,-0.185,79
1780607950966,-0.166,79
1780607950974,-0.173,79
1780607950981,-0.185,79
1780607950989,-0.166,79
1780607950997,-0.15,79
1780607951004,-0.148,79
1780607951012,-0.141,79
1780607951020,-0.141,79
1780607951027,-0.15,79
1780607951035,-0.141,79
1780607951043,-0.122,79
1780607951051,-0.115,79
1780607951058,-0.106,79
1780607951066,-0.102,79
1780607951074,-0.106,79
1780607951081,-0.102,79
1780607951089,-0.088,79
1780607951097,-0.078,79
1780607951104,-0.071,79
1780607951112,-0.067,79
1780607951120,-0.071,79
1780607951127,-0.074,79
1780607951135,-0.074,79
1780607951143,-0.078,79
1780607951151,-0.088,79
1780607951158,-0.104,79
1780607951166,-0.132,79
1780607951174,-0.157,79
1780607951181,-0.164,79
1780607951189,-0.166,79
1780607951197,-0.176,79
1780607951204,-0.18,79
1780607951212,-0.187,79
1780607951220,-0.197,79
1780607951227,-0.194,79
1780607951235,-0.18,79
1780607951243,-0.176,79
1780607951251,-0.173,79
1780607951258,-0.178,79
1780607951266,-0.194,79
1780607951274,-0.194,79
1780607951281,-0.178,79
1780607951289,-0.169,79
1780607951297,-0.169,79
1780607951304,-0.166,79
1780607951312,-0.169,79
1780607951320,-0.176,79
1780607951327,-0.166,79
1780607951335,-0.153,79
1780607951343,-0.153,79
1780607951278,-0.15,79
1780607951286,-0.141,79
1780607951293,-0.139,79
1780607951301,-0.141,79
1780607951309,-0.139,79
1780607951316,-0.134,79
1780607951324,-0.139,79
1780607951332,-0.146,79
1780607951339,-0.155,79
1780607951347,-0.155,79
1780607951355,-0.141,79
1780607951362,-0.132,79
1780607951370,-0.129,79
1780607951378,-0.118,79
1780607951386,-0.095,79
1780607951393,-0.053,79
1780607951401,-0.009,79
1780607951409,0.011,79
1780607951416,-0.002,79
1780607951424,-0.016,79
1780607951432,-0.016,79
1780607951439,-0.025,79
1780607951447,-0.037,79
1780607951455,-0.025,79
1780607951462,-0.013,79
1780607951470,0.0,79
1780607951478,0.039,79
1780607951486,0.057,79
1780607951493,0.032,79
1780607951501,0.039,79
1780607951509,0.078,79
1780607951516,0.115,79
1780607951524,0.118,79
1780607951532,0.053,79
1780607951539,0.03,79
1780607951547,0.088,79
1780607951555,0.12,79
1780607951562,0.115,79
1780607951570,0.139,79
1780607951578,0.169,79
1780607951586,0.178,79
1780607951593,0.197,79
1780607951601,0.243,79
1780607951609,0.285,79
1780607951616,0.327,79
1780607951624,0.405,79
1780607951632,0.48,79
1780607951639,0.498,79
1780607951647,0.521,79
1780607951655,0.584,79
1780607951662,0.688,79
1780607951670,0.902,79
1780607951678,1.152,79
1780607951686,1.078,79
1780607951693,0.582,79
1780607951701,0.213,79
1780607951709,0.292,79
1780607951716,0.412,79
1780607951724,0.364,79
1780607951732,0.345,79
1780607951739,0.359,79
1780607951747,0.336,79
1780607951755,0.32,79
1780607951762,0.313,79
1780607951770,0.287,79
1780607951778,0.259,79
1780607951786,0.255,79
1780607951793,0.259,79
1780607951801,0.264,79
1780607951809,0.271,79
1780607951816,0.278,79
1780607951824,0.273,79
1780607951832,0.255,79
1780607951813,0.241,79
1780607951820,0.236,79
1780607951828,0.241,79
1780607951836,0.248,79
1780607951843,0.252,79
1780607951851,0.245,79
1780607951859,0.229,79
1780607951866,0.213,79
1780607951874,0.19,79
1780607951882,0.162,79
1780607951890,0.153,79
1780607951897,0.141,79
1780607951905,0.113,79
1780607951913,0.085,79
1780607951920,0.062,79
1780607951928,0.041,79
1780607951936,0.023,79
1780607951943,0.002,79
1780607951951,-0.03,79
1780607951959,-0.057,79
1780607951966,-0.069,79
1780607951974,-0.074,79
1780607951982,-0.074,79
1780607951990,-0.081,79
1780607951997,-0.085,79
1780607952005,-0.076,79
1780607952013,-0.062,79
1780607952020,-0.06,79
1780607952028,-0.051,79
1780607952036,-0.041,79
1780607952043,-0.041,79
1780607952051,-0.039,79
1780607952059,-0.032,79
1780607952066,-0.03,79
1780607952074,-0.013,79
1780607952082,0.013,79
1780607952090,0.023,79
1780607952097,0.006,79
1780607952105,0.0,79
1780607952113,0.013,79
1780607952120,0.013,79
1780607952128,0.002,79
1780607952136,-0.006,79
1780607952143,-0.03,79
1780607952151,-0.069,79
1780607952159,-0.09,79
1780607952166,-0.09,79
1780607952174,-0.097,79
1780607952182,-0.102,79
1780607952190,-0.109,79
1780607952197,-0.125,79
1780607952205,-0.12,79
1780607952213,-0.099,79
1780607952220,-0.097,79
1780607952228,-0.099,79
1780607952236,-0.092,79
1780607952243,-0.085,79
1780607952251,-0.074,79
1780607952259,-0.069,79
1780607952266,-0.074,79
1780607952274,-0.074,79
1780607952282,-0.069,79
1780607952290,-0.064,79
1780607952297,-0.055,79
1780607952305,-0.032,79
1780607952313,-0.011,79
1780607952320,-0.02,79
1780607952328,-0.034,79
1780607952336,-0.037,79
1780607952343,-0.046,79
1780607952351,-0.057,79
1780607952359,-0.064,79
1780607952366,-0.064,79
1780607952544,-0.053,79
1780607952551,-0.048,79
1780607952559,-0.055,79
1780607952567,-0.053,79
1780607952575,-0.048,79
1780607952582,-0.048,79
1780607952590,-0.004,79
1780607952598,0.16,79
1780607952605,0.442,79
1780607952613,0.621,79
1780607952621,0.378,79
1780607952628,-0.143,79
1780607952636,-0.345,79
1780607952644,-0.166,79
1780607952651,-0.088,79
1780607952659,-0.136,79
1780607952667,-0.113,79
1780607952675,-0.088,79
1780607952682,-0.099,79
1780607952690,-0.088,79
1780607952698,-0.067,79
1780607952705,-0.067,79
1780607952713,-0.062,79
1780607952721,-0.053,79
1780607952728,-0.041,79
