Timestamp_Epoch_ms,X_mg,Y_mg,Z_mg
1780608023898,-596.0,115.0,770.0
1780608023903,-598.0,115.0,775.0
1780608023908,-599.0,112.0,773.0
1780608023913,-600.0,115.0,770.0
1780608023918,-601.0,112.0,770.0
1780608023923,-601.0,116.0,765.0
1780608023928,-601.0,121.0,767.0
1780608023933,-603.0,130.0,763.0
1780608023938,-604.0,134.0,765.0
1780608023943,-605.0,143.0,762.0
1780608023948,-604.0,145.0,762.0
1780608023953,-605.0,152.0,762.0
1780608023958,-605.0,157.0,764.0
1780608023963,-603.0,165.0,762.0
1780608023968,-602.0,168.0,762.0
1780608023973,-601.0,171.0,762.0
1780608023978,-600.0,178.0,762.0
1780608023983,-601.0,185.0,762.0
1780608023988,-600.0,190.0,764.0
1780608023993,-597.0,191.0,766.0
1780608023998,-596.0,186.0,764.0
1780608024003,-593.0,187.0,764.0
1780608024008,-594.0,186.0,763.0
1780608024013,-593.0,184.0,763.0
1780608024018,-590.0,179.0,763.0
1780608024023,-593.0,178.0,760.0
1780608024028,-593.0,173.0,759.0
1780608024033,-594.0,169.0,759.0
1780608024038,-593.0,166.0,760.0
1780608024043,-595.0,164.0,758.0
1780608024048,-595.0,162.0,759.0
1780608024053,-597.0,158.0,758.0
1780608024058,-599.0,154.0,760.0
1780608024063,-601.0,157.0,766.0
1780608024068,-603.0,153.0,769.0
1780608024073,-601.0,152.0,771.0
1780608024078,-605.0,146.0,771.0
1780608024083,-605.0,144.0,772.0
1780608024088,-606.0,145.0,778.0
1780608024093,-606.0,139.0,774.0
1780608024098,-608.0,135.0,774.0
1780608024103,-606.0,138.0,777.0
1780608024108,-606.0,138.0,773.0
1780608024113,-605.0,134.0,771.0
1780608024118,-603.0,141.0,775.0
1780608024123,-602.0,133.0,777.0
1780608024128,-601.0,137.0,777.0
1780608024133,-598.0,131.0,780.0
1780608024138,-597.0,126.0,778.0
1780608024143,-595.0,129.0,778.0
1780608024148,-589.0,126.0,777.0
1780608024153,-585.0,122.0,777.0
1780608024158,-582.0,120.0,773.0
1780608024163,-578.0,115.0,771.0
1780608024168,-575.0,114.0,775.0
1780608024173,-567.0,114.0,776.0
1780608024178,-566.0,112.0,774.0
1780608024183,-563.0,110.0,779.0
1780608024188,-560.0,109.0,779.0
1780608024193,-560.0,109.0,781.0
1780608024198,-563.0,106.0,777.0
1780608024203,-560.0,104.0,777.0
1780608024208,-562.0,103.0,777.0
1780608024213,-563.0,101.0,776.0
1780608024218,-563.0,99.0,778.0
1780608024223,-567.0,98.0,779.0
1780608024228,-571.0,98.0,776.0
1780608024233,-569.0,100.0,778.0
1780608024238,-576.0,104.0,779.0
1780608024243,-573.0,110.0,780.0
1780608024248,-570.0,108.0,784.0
1780608024253,-566.0,105.0,788.0
1780608024258,-565.0,112.0,794.0
1780608024263,-567.0,108.0,795.0
1780608024268,-568.0,106.0,802.0
1780608024273,-575.0,110.0,801.0
1780608024278,-579.0,103.0,802.0
1780608024283,-583.0,114.0,799.0
1780608024288,-592.0,115.0,792.0
1780608024293,-596.0,120.0,795.0
1780608024298,-596.0,121.0,796.0
1780608024303,-598.0,126.0,794.0
1780608024308,-599.0,125.0,791.0
1780608024313,-597.0,125.0,791.0
1780608024318,-596.0,128.0,786.0
1780608024323,-595.0,132.0,779.0
1780608024328,-597.0,135.0,775.0
1780608024333,-595.0,135.0,774.0
1780608024338,-594.0,142.0,776.0
1780608024343,-588.0,140.0,775.0
1780608024348,-584.0,141.0,780.0
